ステップ,アクション,要素,入力値,期待結果,説明
1,アクセス,https://demoqa.com/browser-windows,,,"DemoQAのブラウザウィンドウテストページにアクセス"
2,クリック,#tabButton,,,新しいタブボタンをクリック
3,newwindow,sample page,,,「sample page」タイトルのタブに切り替え
4,確認,#sampleHeading,sample page,,サンプルページであることを確認
5,スクリーンショット,sample_page,,,サンプルページをキャプチャ
6,window,ToolsQA,,,元のページ（ToolsQA）に戻る
7,クリック,#windowButton,,,新しいウィンドウボタンをクリック
8,newwindow,sample page,,,「sample page」タイトルの新しいウィンドウに切り替え
9,確認,#sampleHeading,sample page,,新しいウィンドウのサンプルページであることを確認
10,closewindow,sample page,,,サンプルページウィンドウを閉じる
11,window,ToolsQA,,,元のページに戻る
12,クリック,#messageWindowButton,,,メッセージウィンドウボタンをクリック
13,newwindow,,,,最新のウィンドウ（メッセージウィンドウ）に切り替え
14,スクリーンショット,message_window,,,メッセージウィンドウをキャプチャ
15,closewindow,,,,現在のウィンドウ（メッセージウィンドウ）を閉じる
16,window,,0,,インデックス0のウィンドウ（元のページ）に戻る
17,確認,title,ToolsQA,,元のページに戻ったことを確認
